artist|song|youtube_key|spotify_key|jjj_preview
Anna Of The North|The Dreamer|8Prv8AFUN-U||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/07ed84cb88a9969ab91895c061ba8fbf.mp3
Ansah Brothers, The|Go Figure|sWZUr4G3mnw||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/c44e6c8ee12c7def94eac38ba05a60b7.mp3
Ansah Brothers, The|Never Learn|DKqAphdtFrU||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/ad00ca3c30d1f6dbef831bb3fe9d37e2.mp3
Anti-Flag|Brandenburg Gate {Ft. Tim Armstrong}|cWE4VXGMeIk||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/9cd9f9101da4568786b75cdc256f7b81.mp3
Anti-Flag|Sky Is Falling|EPUuu0i2U6k||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/6f690b4a7a4db485f7d647f02b3832fa.mp3
Antony & Cleopatra|Take Me|GJ7EFFAe41Y||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b333f4267ff8b8f455913f2069aada83.mp3
Aphex Twin|18 With My Family|00rQFdoHdfU||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/9a0b61dca48a13e6ff5ae2ab41061c20.mp3
Apothek|Family|2UAiNvEqVV4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/0e8aded20dabd3402001d7d8c93bb596.mp3
Aquila Young|Vagabond|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/e988277bd1d130eb22efb01a3aad8bd8.mp3
Aquilo|Better Off Without You|WMnX_pgRWwQ||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d4802492f91a3e81fa25a2348bace5de.mp3
Ara Koufax|Market|YzY8_2x9SXc||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/e12e63cad81300a8b56ade8437f44cc6.mp3
Arca|Vanity|0SYMoTBYT04||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/0cc703eef42f01bf27bc75bcd287a3e7.mp3
Arcade Fire|Apocrypha|3yHPTg3BRSA||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/dbcae45fea38e1c0e2e0b8e64cc79412.mp3
Arcade Fire|Soft Power|W7OEofp79aY||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/e39fd039370538e74eddfd6e74155c6e.mp3
Arches|New Love {Ft. Karen Harding}|eGCmod31qe0||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/f3df596db179c61f85c3245ac42534f7.mp3
Archy Punker|Can't Run Without Legs|UAIODpr4XRQ||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/9ab73acb2d8f84e22a09d61df3cfbb59.mp3
Arcs, The|Stay In My Corner|EHCO6CRTLT8||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/82ce2ce474bb28af2d11d1740144b07a.mp3
Arcs, The|Outta My Mind|k84Fpso2cBY||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/46c9954bdf6e3b7579a9fcc9fa7c4eba.mp3
Art Of Sleeping|Bleeding Out|CKOZTDGS2jA||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/30e0e9c49d133abeebf30a86b1af03b3.mp3
Art Of Sleeping|Hotline Bling {triple j Like A Version}|wSupEocY7u4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/8ffda30465efa894f55247beb5a69dbb.mp3
Art Of Sleeping|Voodoo|9fUjfx2RDHM||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/9d0061bd4925dcd93b24fc41d2946245.mp3
Art vs Science|Enter Sandman {triple j Like A Version}|h7yRjD5yLv4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/8ac2f414876b2fbd224116fd5d489c31.mp3
Art vs Science|Chosen One|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b7a27a0b7d686332dc066c16a5249ff0.mp3
Art vs Science|In This Together|X-M2pV15j5Y||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/bf291d6dd96fe3c2b1ea9db80a441f38.mp3
Art vs Science|Tired Of Pretending|oNJs-g2xG6Y||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/7d37f45552e938015f846b887efbe689.mp3
Art vs Science|Unity|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b13f76df40c87889c8a1899a01f13e89.mp3
Arthur Miles|6|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/26526b93174c2333d0f3a977951fc7c7.mp3
Asdasfr Bawd|Alsp|68E2Vh6z_D4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d384e3503694081b9afa7f1823a6235f.mp3
Asdasfr Bawd|Negative Energy|TJJKCNsSX0Y||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/6d56825304c1e2c2cb295242b7249c47.mp3
Ash Grunwald|Second Guess|grMF3P7qmto||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/57da5937dfdae019068b9485cb463ff2.mp3
Ash Grunwald|River|qHqPHcICGTo||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/56fd3fc079aef9ff88eff51868dff3bb.mp3
Asha Jefferies|Kiss My Ass|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/201bd6187ce5f6d85d1bd94fef9698f2.mp3
Asta|Dynamite {Ft. Allday}|1VgRTTS2594||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/fc33467583f938f89110ed0017e656ee.mp3
Asta|I Wanna Dance With Somebody {triple j Like A Version}|BRGEYPMv9DE||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/386f7e74c87260a118e82ea1c4e781b4.mp3
Aston Shuffle, The|High With You|1vK-iv-Kswk||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/5318b571b9f1be98bd5c28381936a1c1.mp3
Aston Shuffle, The|Don't Let Go|3cfpWIg8WV4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/dc5cfc0e9eac5d48d4b5862464c7d1d7.mp3
Astrid S|Hyde|j4na00MASl4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/9ad5b9b5a8d45264ac9adab3331ef6cb.mp3
Atlas Bound|Landed On Mars|0JpDvLQCNNY||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/6a4928321e40f723549a49096fee82e4.mp3
Au Dr_|Fool Me|7NHm0JlPblc||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/9b2eb573249c7c32ad127814578c8619.mp3
Au.Ra|Talk Show|OSj-C8r9-2Y||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/81f11267022b17642785757d88ffb68d.mp3
August Burns Red|The Wake|vxWnl_aUXB4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/37c347cfd29547d624f088eec703d804.mp3
August Burns Red|Identity|ngNJGkcpdgk||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/3d4a2297e9f48a23e0c66ceda1168e41.mp3
Auguste|Slow Motion|NFXCUiVPvM8||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/42dcdf1f79b7feebeb2bd8c4bf038a75.mp3
Autre Ne Veut|World War Pt. 2|lzFnojEjjiU||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/a92e5d0b93738784f82add776d332d4a.mp3
Avaberee|Can't Get You Off My Mind|bQ0eFku384Y||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/86f02cd7e3ae19e0e0e69b32b7c3e9f1.mp3
Avaberee|Doubt|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d2228678c760c7842f62c690dd7db06b.mp3
Avalanche City|Inside Out|B7GJutYRxi4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/98203f19244dc0c88b569d976e347c14.mp3
Avener, The|Castle In The Snow {Ft. Kadebostany}|LLgC0ZzEj54||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d8f9b08da10b2a1e1df465b38f9ccad2.mp3
Avener, The|Hate Street Dialogue {Ft. Rodriguez}|pWUPGe2rMo8||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/05c1cc248dc02b21c2898079c7c31498.mp3
Aversions Crown|Parasites|KkYliL7KIQs||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/4f74025a4716eda4fcd2c67238814a3a.mp3
Awaken I Am|Divisions|5IIlnE9hgx8||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/37612e05b35f3b8d5b80083cee0a71c1.mp3
Awreeoh|Don't Get Deleted|gjrf6vzrV6w||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/aabd9246593a4ea79032af2b2e1008de.mp3
Ayla|Waiting|tXfjVIpKnAQ||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/426a108b712b660a9ec238633a77568b.mp3
Ayla|Throw Your Arms Around Me {triple j Like A Version}|QDy2LcJMO0M||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b6b658d433decdd28959ac86ea6747fb.mp3
Ayla|When The World Ends|GGAkCs0yzus||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/709e1fe596b78c3c88a9e51aaf5fcb12.mp3
B Wise|Prince Akeem|ea2vXsWdqnM||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/8fcafe369d48338a2e614a500f578faa.mp3
B Wise|Lately|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/cf9c178e9ab428b19d21cb6f4e89f003.mp3
BADBADNOTGOOD & Ghostface Killah|Sour Soul|cod_6dsIsnE||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/3d8408ebf5eca1c6d720c8eae4d057bf.mp3
BADBADNOTGOOD & Ghostface Killah|Six Degrees {Ft. Danny Brown}|yA-ee9M_jhE||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b8f4a4adcb6cf4b6b3f13fdef0391d70.mp3
BADBADNOTGOOD & Ghostface Killah|Ray Gun {Ft. DOOM}|6YW_RqTuZMw||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/ce89ceea2e1c239a5d59f2f90e6ef57a.mp3
BADBADNOTGOOD & Ghostface Killah|Gunshowers {Ft. Elzhi}|H-qmZ_J7WGc||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/a30ccc7f67de26682fdcd17e9102feea.mp3
BADBADNOTGOOD & Ghostface Killah|Mind Playing Tricks|z4WseZHkymU||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/4160e8d7dfd30878e0b52297af86055b.mp3
BADBADNOTGOOD & Ghostface Killah|Nuggets Of Wisdom|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/5edf30825410b397c2ab9de7615dbf53.mp3
BASECAMP|Watch My Back|3HX6WFQWu90||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/416dd5bb1a61ede034d04ec1f46e2fb6.mp3
BATTS|For That, I'm Sorry|iovhYC4Cgjk||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/26dc145f8bf43434baa91f8cd6ce93e8.mp3
BATTS|Morals|-faSpuSVRcw||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/58de8a9733c4a096d0020e53c266b8c2.mp3
BJ The Chicago Kid|Church {Ft. Chance The Rapper & Buddy}|xAE52TBtVrc||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/0168dbb400a5b1989fb7937b76b025b8.mp3
BLY|Rosey|Cylib7Ymmz0||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b98649ddc62b7f2dc6f9f9b5576d12ae.mp3
